product_id,classification_code,cmd_code,product_label,primary_strict,primary_broad,primary_strict_rule,primary_broad_rule
HS1992:282739,H0,282739,Other chlorides:-- Other,False,False,not_primary_strict,not_primary_broad
HS1992:291523,H0,291523,Acetic acid and its salts; acetic anhydride :-- Cobalt acetates,False,False,not_primary_strict,not_primary_broad
HS1992:291529,H0,291529,Acetic acid and its salts; acetic anhydride :-- Other,False,False,not_primary_strict,not_primary_broad
HS1992:291550,H0,291550,"Propionic acid, its salts and esters",False,False,not_primary_strict,not_primary_broad
HS1992:293379,H0,293379,Lactams :-- Other lactams,False,False,not_primary_strict,not_primary_broad
HS1992:310260,H0,310260,Double salts and mixtures of calcium nitrate and ammonium nitrate,False,False,not_primary_strict,not_primary_broad
HS1992:390330,H0,390330,Acrylonitrile-butadiene-styrene (ABS) copolymers,False,False,not_primary_strict,not_primary_broad
HS1992:540252,H0,540252,"Other yarn, single, with a twist exceeding 50 turns per metre :-- Of polyesters",False,False,not_primary_strict,not_primary_broad
HS1992:550690,H0,550690,Other,False,False,not_primary_strict,not_primary_broad
HS1992:821193,H0,821193,Other :-- Knives having other than fixed blades,False,False,not_primary_strict,not_primary_broad
HS1992:841382,H0,841382,Other pumps; liquid elevators :-- Liquid elevators,False,False,not_primary_strict,not_primary_broad
HS1992:860290,H0,860290,Other,False,False,not_primary_strict,not_primary_broad
HS1992:880510,H0,880510,Aircraft launching gear and parts thereof; deck-arrestor or similar gear and parts thereof,False,False,not_primary_strict,not_primary_broad
HS1992:910700,H0,910700,Time switches with clock or watch movement or with synchronous motor.,False,False,not_primary_strict,not_primary_broad
HS1992:030193,H0,030193,Other live fish :-- Carp,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:030551,H0,030551,"Dried fish, whether or not salted but not smoked :-- Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)",True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:080540,H0,080540,Grapefruit,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:081210,H0,081210,Cherries,True,True,strict_hs01_10_12_14_raw_agriculture,strict_hs01_10_12_14_raw_agriculture
HS1992:110422,H0,110422,"Other worked grains (for example, hulled, pearled, sliced or kibbled) :-- Of oats",False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:110610,H0,110610,Of the dried leguminous vegetables of heading No. 07.13,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:110811,H0,110811,Starches :-- Wheat starch,False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:150200,H0,150200,"Fats of bovine animals, sheep or goats, other than those of heading No. 15.03.",False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:150300,H0,150300,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",False,True,not_primary_strict,broad_first_stage_food_inputs_hs11_15_23
HS1992:170220,H0,170220,Maple sugar and maple syrup,False,False,not_primary_strict,not_primary_broad
HS1992:284321,H0,284321,Silver compounds:-- Silver intrate,False,False,not_primary_strict,not_primary_broad
HS1992:291815,H0,291815,"Carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives :-- Salts and esters of citric acid",False,False,not_primary_strict,not_primary_broad
HS1992:292212,H0,292212,"Amino-alcohols, their ethers and esters, other than those containing more than one kind of oxygen function; salts thereof :-- Diethanolamine and its salts",False,False,not_primary_strict,not_primary_broad
HS1992:340212,H0,340212,"Organic surface-active agents, whether or not put up for retail sale :-- Cationic",False,False,not_primary_strict,not_primary_broad
HS1992:370130,H0,370130,"Other plates and film, with any side exceeding 255 mm",False,False,not_primary_strict,not_primary_broad
