country,iso3,reporter_code,metric,start_year,end_year,start_metric,end_metric,delta_metric,metric_change_direction,main_driver_bucket,main_driver_bucket_label,main_driver_group,delta_top5_contribution,delta_rank6_50_contribution,delta_rank51_200_contribution,delta_rank201_plus_contribution
Mauritania,MRT,478,gini,2000,2024,0.901396708070396,0.9191320557987982,0.01773534772840224,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,0.02185517204165638,-0.0814698069722532,0.021665791871642304,0.055684190787356654
Mauritius,MUS,480,gini,2000,2024,0.854485104178964,0.8642016510850621,0.009716546906098134,increase,top5,Top 5,top-5 superstar concentration,0.03706285567041767,-0.006520111481703561,-0.019453978079136902,-0.0013722192034790193
Mexico,MEX,484,gini,2000,2024,0.8427915274380674,0.8610435161684675,0.018251988730400126,increase,rank51_200,Ranks 51-200,middle-tail change,-0.0021441254315079095,0.010721335603728122,0.024949635227089706,-0.015274856668909959
Mongolia,MNG,496,gini,2000,2023,0.9026496251198778,0.8958994101967845,-0.006750214923093245,decrease,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.008512343428723979,-0.07373030970734978,0.0017265817486559754,0.07376585646432439
Montenegro,MNE,499,gini,2006,2024,0.8658621690127297,0.8777984328851586,0.011936263872428854,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.016368157283751322,-0.0046724922265647395,0.014430961561852085,0.018545951820892997
Montserrat,MSR,500,gini,2000,2024,0.83889646141997,0.8470410840098178,0.008144622589847827,increase,top5,Top 5,top-5 superstar concentration,-0.1469052579006906,-0.05436909714838528,0.06820254940005316,0.14121642823887068
Morocco,MAR,504,gini,2000,2024,0.8638878385998449,0.892209060096244,0.02832122149639915,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.010340429127497858,0.04099238521632875,0.0054644575621977665,-0.007795192154629482
Mozambique,MOZ,508,gini,2000,2024,0.8866409788559044,0.8916558343856383,0.005014855529733908,increase,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.018018236772303686,-0.003837742108198927,-0.013342430446902975,0.0402132648571395
Namibia,NAM,516,gini,2000,2024,0.8567434494743223,0.8896597216242462,0.032916272149923875,increase,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.02187472032121826,0.04566562580635003,0.023897222046871225,-0.014771855382079119
Netherlands,NLD,528,gini,2000,2024,0.8146122229457787,0.8319408998753097,0.017328676929530995,increase,top5,Top 5,top-5 superstar concentration,-0.07872620614359992,0.05018705636756565,0.029771202631056926,0.016096624074508292
New Zealand,NZL,554,gini,2000,2024,0.8239317664288383,0.8522040380676892,0.028272271638850932,increase,top5,Top 5,top-5 superstar concentration,-0.03283029153654461,0.026076407839866284,0.021737518183732152,0.013288637151797178
Nicaragua,NIC,558,gini,2000,2024,0.8522406896946717,0.9004297862404403,0.04818909654576864,increase,top5,Top 5,top-5 superstar concentration,0.06683725264784379,0.011333165890768382,-0.01118572385536798,-0.018795598137475278
Niger,NER,562,gini,2000,2024,0.9412587491039974,0.936468036256073,-0.004790712847924428,decrease,rank6_50,Ranks 6-50,broader upper-tier concentration,-0.008115794195511505,-0.028289559421893595,0.017210264090288335,0.014404376679192157
Nigeria,NGA,566,gini,2000,2024,0.8928862466043578,0.8867139597723271,-0.006172286832030638,decrease,rank201_plus,Rank 201+ tail,long-tail compression or expansion,-0.04499467756049487,-0.048042361754455754,0.024075480913433533,0.06278927156948627
North Macedonia,MKD,807,gini,2000,2024,0.8448326860703904,0.8748273062053448,0.029994620134954353,increase,top5,Top 5,top-5 superstar concentration,0.07585254036023253,-0.023117093460456928,-0.017791314633723104,-0.004949512131098205
Norway,NOR,579,gini,2000,2024,0.8425460466721016,0.8605534169737435,0.0180073703016419,increase,top5,Top 5,top-5 superstar concentration,-0.03455424916872635,0.00591024771835974,0.022621107970476784,0.024030263781531447
Oman,OMN,512,gini,2000,2024,0.9167688069022708,0.8924014054812405,-0.024367401421030332,decrease,top5,Top 5,top-5 superstar concentration,-0.13742120614090683,0.014115484007343193,0.014473360042767669,0.08446496066976589
Pakistan,PAK,586,gini,2003,2024,0.8869284349278028,0.9063421993722093,0.019413764444406456,increase,top5,Top 5,top-5 superstar concentration,0.05111852134328973,0.0028379221169538837,-0.02732739896208375,-0.007215280053753381
